wall=14.29s run=01M156JN21TS34NQAF2Y7T85SG state=PARTIAL

=== CUMULATIVE (all) ===
         10128599 function calls (10082599 primitive calls) in 14.290 seconds

   Ordered by: cumulative time
   List reduced from 2395 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.795    0.199 /Users/prathamsharma/intent-engine-econ/src/intent_engine/validation/manifest.py:251(load)
        2    0.001    0.000    0.786    0.393 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/service.py:1853(subject_cik)
        4    0.000    0.000    0.771    0.193 /Users/prathamsharma/intent-engine-econ/.venv/lib/python3.9/site-packages/yaml/__init__.py:117(safe_load)
        4    0.002    0.001    0.771    0.193 /Users/prathamsharma/intent-engine-econ/.venv/lib/python3.9/site-packages/yaml/__init__.py:74(load)



=== TOTTIME (intent_engine only) ===
         10128599 function calls (10082599 primitive calls) in 14.290 seconds

   Ordered by: internal time
   List reduced from 2395 to 1404 due to restriction <'intent_engine'>
   List reduced from 1404 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1700    2.849    0.002    3.214    0.002 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/observations.py:165(owned_match)
    36299    0.320    0.000    0.320    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/observations.py:88(<genexpr>)
       10    0.094    0.009    0.098    0.010 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/filing_sections.py:154(section_spans)
       60    0.044    0.001    0.044    0.001 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/readiness.py:190(<genexpr>)
        2    0.043    0.021    0.043    0.021 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/filing_text.py:597(_topic_spans)
    42137    0.028    0.000    0.074    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/filing_text.py:151(handle_starttag)
    14832    0.027    0.000    0.350    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/observations.py:82(_cannot_contain)
    42133    0.026    0.000    0.056    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/filing_text.py:211(handle_endtag)
     3538    0.024    0.000    0.105    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/evidence_text.py:346(furniture_reason)
    42109    0.022    0.000    0.034    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/filing_text.py:91(_hidden_style)
        3    0.022    0.007    0.990    0.330 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/edgar.py:305(resolve_cik)
       48    0.021    0.000    0.021    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/readiness.py:191(<genexpr>)
       18    0.019    0.001    0.019    0.001 /Users/prathamsharma/intent-engine-econ/src/intent_engine/external_intel/annual_filing.py:237(<listcomp>)
    31176    0.016    0.000    0.067    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/edgar.py:300(_tokens)
    41504    0.014    0.000    0.028    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/filing_text.py:144(_flush)
     2248    0.014    0.000    0.021    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/evidence_text.py:389(<listcomp>)
        1    0.014    0.014    0.044    0.044 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/listings.py:134(__init__)
       22    0.010    0.000    0.017    0.001 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/evidence_text.py:149(_split_block)
        1    0.010    0.010    0.070    0.070 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/listings.py:152(from_json_bytes)
    12105    0.010    0.000    0.014    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/evidence_text.py:390(<genexpr>)
       12    0.009    0.001    0.286    0.024 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/filing_detectors.py:210(detect)
    31176    0.008    0.000    0.008    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/edgar.py:302(<setcomp>)
     9563    0.007    0.000    0.010    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/parsing.py:106(handle_starttag)
       14    0.007    0.000    0.007    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/research_modes.py:103(<genexpr>)
    10392    0.006    0.000    0.025    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/listings.py:81(normalize_company_name)
