wall=29.78s run=01M155WCETHYDA21E873NQ6ZN4 state=PARTIAL

=== CUMULATIVE (all) ===
         19815280 function calls (19765711 primitive calls) in 29.776 seconds

   Ordered by: cumulative time
   List reduced from 2446 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.003    0.000    0.017    0.001 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/filing_text.py:245(_strip_repeated_furniture)
    10391    0.003    0.000    0.003    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/listings.py:174(<dictcomp>)
     8560    0.003    0.000    0.005    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/independence.py:172(<genexpr>)
    54000    0.003    0.000    0.005    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/validation/manifest.py:243(<genexpr>)
       12    0.003    0.000    2.554    0.213 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/third_party_filings.py:251(_get_document)
       22    0.003    0.000    0.197    0.009 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/evidence_text.py:508(evidence_excerpt)
     1344    0.003    0.000    0.003    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/external_intel/pack.py:169(add)
      400    0.002    0.000    0.010    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/validation/manifest.py:239(_no_answer_key)
    38841    0.002    0.000    0.002    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/filing_text.py:204(<genexpr>)
    21826    0.002    0.000    0.002    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/external_intel/competitor_finder.py:191(<genexpr>)
       28    0.002    0.000    0.051    0.002 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/relevance.py:254(<listcomp>)
    14400    0.002    0.000    0.002    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/sitemap.py:61(<genexpr>)


